antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Victorian Christmas Hanging,Chilli Lights,0.25875,0.2631,0.0942,0.36405797101449283,1.383724709291117,1.0,0.026122875000000018,1.1587534184138562,0.37411520821473476,0.2202735882146616,0.1370036246634453,0.3610483697717846
Chilli Lights,Victorian Christmas Hanging,0.2631,0.25875,0.0942,0.3580387685290764,1.3837247092911167,1.0,0.026122875000000018,1.1546647424511547,0.3763236505484763,0.2202735882146616,0.13394774843720259,0.3610483697717846
Bunting Black And White,Victorian Glass Hanging T-light,0.26405,0.26055,0.0948,0.35902291232721073,1.3779424767883734,1.0,0.026001772499999992,1.1536293796159527,0.3726887704774935,0.22056770590972546,0.13317048120523461,0.36143431166159035
Victorian Glass Hanging T-light,Bunting Black And White,0.26055,0.26405,0.0948,0.36384571099597,1.3779424767883734,1.0,0.026001772499999992,1.1568734389140272,0.37092474221774474,0.22056770590972546,0.13560121067459746,0.36143431166159035
Chilli Lights,Bunting Black And White,0.2631,0.26405,0.0956,0.3633599391866211,1.3761027804833217,1.0,0.026128445,1.1559907164179106,0.3708917005594509,0.22152705364384198,0.13494114978819358,0.3627062903658915
Bunting Black And White,Chilli Lights,0.26405,0.2631,0.0956,0.3620526415451619,1.3761027804833217,1.0,0.026128445,1.155110982487385,0.37137046557817704,0.22152705364384198,0.13428231991472644,0.3627062903658915
Chilli Lights,Victorian Glass Hanging T-light,0.2631,0.26055,0.0936,0.3557582668187001,1.3654126533053161,1.0,0.025049295,1.1477834513274334,0.36317095002975036,0.21764911056853858,0.12875551669308283,0.35749916795166437
Victorian Glass Hanging T-light,Chilli Lights,0.26055,0.2631,0.0936,0.3592400690846287,1.3654126533053161,1.0,0.025049295,1.1500407008086253,0.36191855173023607,0.21764911056853858,0.13046555717821778,0.35749916795166437
Victorian Christmas Hanging,Bunting Black And White,0.25875,0.26405,0.09225,0.3565217391304348,1.3502054123477931,1.0,0.0239270625,1.143706081081081,0.34991156994200634,0.21426082917198935,0.1256494858759899,0.35294369478771315
Bunting Black And White,Victorian Christmas Hanging,0.26405,0.25875,0.09225,0.34936565044499146,1.3502054123477931,1.0,0.0239270625,1.139272773573923,0.35243148477411806,0.21426082917198935,0.12224708323101718,0.35294369478771315
Victorian Christmas Hanging,Victorian Glass Hanging T-light,0.25875,0.26055,0.09055,0.3499516908212561,1.3431268118259685,1.0,0.023132687500000013,1.1375308412604044,0.34464575206974823,0.21119533527696796,0.12090295600954237,0.3487428766906127
Victorian Glass Hanging T-light,Victorian Christmas Hanging,0.26055,0.25875,0.09055,0.3475340625599693,1.3431268118259685,1.0,0.023132687500000013,1.1360746323529411,0.3454847031194819,0.21119533527696796,0.11977613836083555,0.3487428766906127
