CustomerID,Age,Income,SpendingScore,NumOrders,ReturnRate,Region,Segment,JoinDate,LastPurchase
C000000,43.0,70393.60101302442,18.508007950799822,7.0,0.23542960633849117,Central,Budget,2018-01-01,2022-01-01
C000001,27.0,18121.893638484587,97.81761504098023,2.0,0.09050523803234639,West,Standard,2018-01-01,2022-01-01
C000002,49.0,50206.84646653202,49.96217715432226,5.0,0.23914779714996204,East,Standard,2018-01-01,2022-01-01
C000003,51.0,33187.27726295027,33.426576902563184,9.0,0.18109037891496726,South,Standard,2018-01-01,2022-01-01
C000004,39.0,112273.0601624601,49.96217715432226,8.0,0.0899187183304752,Central,Budget,2018-01-01,2022-01-01
C000005,24.0,34924.40993634568,26.997454281274823,8.0,0.07753303134079248,South,Premium,2018-01-01,2022-01-01
C000006,41.0,25055.12003168426,36.52561108644889,7.0,0.34160495986875267,North,Standard,2018-01-01,2022-01-01
C000007,36.0,55112.73695769066,50.191958330347425,12.0,0.2663547481154898,West,Standard,2018-01-01,2022-01-01
C000008,39.0,34274.713233244926,32.46981054694525,15.0,0.1845877698021239,South,Budget,2018-01-01,2022-01-01
C000009,29.0,57456.94647535414,62.10936159083826,3.0,0.0890254875834137,Central,Budget,2018-01-01,2022-01-01
C000010,50.0,76744.9659319646,49.96217715432226,9.0,0.1292006369294612,West,Standard,2018-01-01,2022-01-01
C000011,49.0,33596.55072016915,21.612565567752963,6.0,0.27302137366706053,East,Standard,2018-01-01,2022-01-01
C000012,40.0,78429.51208021046,52.37052363871155,10.0,0.2218061814032364,North,Premium,2018-01-01,2022-01-02
C000013,53.0,53726.178503341114,30.194823522868035,8.0,0.027616296404978976,West,Budget,2018-01-01,2022-01-02
C000014,39.0,45291.70750931356,55.49529570444314,6.0,0.2524613184758024,South,Premium,2018-01-01,2022-01-02
C000015,29.0,55112.73695769066,55.963554824705014,9.0,0.2256943670509532,Central,Premium,2018-01-01,2022-01-02
C000016,44.0,83351.44014290732,37.25732646802445,8.0,0.06408515859894008,West,Standard,2018-01-01,2022-01-02
C000017,28.0,56022.16418521572,46.715457766609646,9.0,0.1525056238853245,South,Budget,2018-01-01,2022-01-02
C000018,50.0,55112.73695769066,52.0645908806866,6.0,0.17203311285546172,West,Standard,2018-01-01,2022-01-02
C000019,39.0,63482.83172508451,36.31543289572352,6.0,0.1435375127678653,North,Standard,2018-01-01,2022-01-02
C000020,37.0,55112.73695769066,16.511158308381923,6.0,0.19653810916507058,West,Budget,2018-01-01,2022-01-02
C000021,31.0,51194.482584952966,65.5150079184732,9.0,0.14955938141725694,West,Standard,2018-01-01,2022-01-02
C000022,54.0,75430.88952070332,65.36793546077377,5.0,0.11568551072197444,Central,Standard,2018-01-01,2022-01-02
C000023,38.0,55112.73695769066,64.44273848123267,7.0,0.024620241455183066,East,Standard,2018-01-01,2022-01-02
C000024,34.0,62141.461554923146,30.143146306003775,8.0,0.21632511418798275,West,Premium,2018-01-02,2022-01-03
C000025,35.0,70686.97573247639,45.34734183817437,8.0,0.384029659753015,West,Standard,2018-01-02,2022-01-03
C000026,46.0,26023.668182705962,17.387526847500915,11.0,0.2915030779237075,Central,Premium,2018-01-02,2022-01-03
C000027,44.0,25334.788293353322,91.72056754622253,9.0,0.3635823090440008,West,Premium,2018-01-02,2022-01-03
C000028,44.0,74962.56857828322,23.427728368267648,8.0,0.05328589557140925,Central,Budget,2018-01-02,2022-01-03
C000029,45.0,78489.08251049531,75.03497544293323,9.0,0.19347795072514215,East,Standard,2018-01-02,2022-01-03
C000030,65.0,82195.3908826517,34.477308805999186,7.0,0.4121712048569639,Central,Premium,2018-01-02,2022-01-03
C000031,35.0,41140.210495512314,56.05484351817455,7.0,0.2693738907218868,South,Standard,2018-01-02,2022-01-03
C000032,33.0,59021.336821790326,44.862648993734126,7.0,0.08813920334986651,Central,Standard,2018-01-02,2022-01-03
C000033,30.0,61665.37959060475,42.28994202876051,9.0,0.23104840167717328,Central,Premium,2018-01-02,2022-01-03
C000034,47.0,20855.846637109084,58.1292960432102,7.0,0.25458961853988765,North,Budget,2018-01-02,2022-01-03
C000035,53.0,58145.208827750605,38.96258391429741,9.0,0.2538727857979669,Central,Premium,2018-01-02,2022-01-03
C000036,38.0,57774.17926098742,17.731031062016143,5.0,0.06362022611688309,Central,Standard,2018-01-02,2022-01-04
C000037,29.0,69906.21275409462,46.684520180964924,14.0,0.2537748732385995,East,Premium,2018-01-02,2022-01-04
C000038,30.0,43568.66226900131,72.2889981858902,10.0,0.052774606140287526,East,Premium,2018-01-02,2022-01-04
C000039,47.0,55112.73695769066,50.32993562006666,7.0,0.023737570477006295,North,Budget,2018-01-02,2022-01-04
C000040,39.0,56606.76036271001,31.197851648876014,10.0,0.13895152838500036,Central,Budget,2018-01-02,2022-01-04
C000042,32.0,69932.17805830743,50.166018899724925,6.0,0.21025450572052284,Central,Budget,2018-01-02,2022-01-04
C000043,42.0,60553.94955725125,32.99175884285333,7.0,0.09030904088790774,West,Standard,2018-01-02,2022-01-04
C000044,41.0,31362.076399982394,92.9650022262035,9.0,0.2707473193618161,West,Standard,2018-01-02,2022-01-04
C000045,42.0,28599.968659403847,49.96217715432226,8.0,0.40386795596832764,West,Budget,2018-01-02,2022-01-04
C000046,39.0,87017.33127481324,31.355466054873535,10.0,0.09769491815645592,Central,Premium,2018-01-02,2022-01-04
C000047,42.0,72554.59123252386,70.4317116074206,4.0,0.14098491533506238,South,Budget,2018-01-02,2022-01-04
C000048,48.0,49298.343473319204,31.02564478564495,8.0,0.23963316077352814,East,Standard,2018-01-03,2022-01-05
C000049,39.0,46663.879427304164,64.61369642390154,13.0,0.2184747083614748,North,Budget,2018-01-03,2022-01-05
C000050,43.0,59437.68323631547,67.16609415895823,8.0,0.33261046435064817,West,Standard,2018-01-03,2022-01-05
C000051,47.0,28096.228196239445,91.37085285623363,11.0,0.14357417737839606,East,Budget,2018-01-03,2022-01-05
C000052,22.0,45646.42674846456,71.25692220716407,14.0,0.2871883016513088,South,Standard,2018-01-03,2022-01-05
C000053,36.0,55112.73695769066,40.838424913660596,7.0,0.05229093266886215,Central,Premium,2018-01-03,2022-01-05
C000054,39.0,69926.12736688285,35.270849233812655,7.0,0.19779329720264519,South,Budget,2018-01-03,2022-01-05
C000055,32.0,47638.18908870079,28.880644525497473,5.0,0.08944014530228135,Central,Standard,2018-01-03,2022-01-05
C000056,36.0,87004.96563667947,27.670614858142372,5.0,0.04290947739468797,West,Premium,2018-01-03,2022-01-05
C000057,57.0,75899.70829000507,57.88174360654426,6.0,0.08429912112825667,Central,Premium,2018-01-03,2022-01-05
